attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref
MACRO_N_001,1995,1995-01-01,1988-2001_cross_strait_mobility,鬍鬚張魯肉飯 product strategy,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,innovation_product_strategy,1995 Formosa Chang proposed 3-33 innovation product strategy for traditional food modernization,high,Official timeline row distinct from origin and corporatization rows,FC_1995_PRODUCT_STRATEGY,probable,Taiwan-side,Official timeline lists a 1995 3-33 innovation product strategy for traditional food modernization,魯肉飯,台灣傳統美食,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_002,2002,2002-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 ISO upgrade,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,quality_system_upgrade,2002 Formosa Chang upgraded ISO quality certification ahead of schedule during chain standardization,high,Certification row for Taiwan-side chain governance,FC_2002_ISO_UPGRADE,probable,Taiwan-side,Official awards section records a 2002 ISO quality certification upgrade,魯肉飯,台灣品牌標準化,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_003,2004,2004-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 Japan franchise contracts,Tokyo,Japan,Japan,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,japan_contracting,2004 Formosa Chang renewed with Japan MIC and signed Japan ETRAM for overseas Taiwan lu rou fan expansion,high,Overseas contract row distinct from 2000 Japan entry,FC_2004_JAPAN_CONTRACTS,probable,Japan,Official timeline says Formosa Chang renewed with MIC and signed with ETRAM in Japan,魯肉飯,日本拓店,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_004,2006,2006-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 world vision,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,world_brand_vision,2006 Formosa Chang corporate vision stated selling lu rou fan until the whole world knows it,high,Semantic globalization row from official timeline,FC_2006_WORLD_VISION,probable,Taiwan-side,Official timeline frames the firm vision as selling lu rou fan to worldwide recognition,魯肉飯,全世界都知道,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_005,2006,2006-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 GSP service,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,gsp_service_certification,2006 Formosa Chang received GSP service standard certification from Taiwan commerce authorities,high,Service governance row for Taiwan-side brand formalization,FC_2006_GSP,probable,Taiwan-side,Official awards section records a 2006 GSP service certification,魯肉飯,台灣服務規範,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_006,2008,2008-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 brand collaboration,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,cross_industry_brand_collaboration,2008 Formosa Chang collaborated with Pizza Cut Five showing lu rou fan brand cross industry circulation,high,Brand collaboration row,FC_2008_PIZZA_COLLAB,probable,Taiwan-side,Official timeline records a 2008 cross industry collaboration with Pizza Cut Five,魯肉飯,跨產業聯名,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_007,2008,2008-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 central factory HACCP,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,haccp_factory_rebuild,2008 Formosa Chang central factory rebuild met HACCP international certification standards,high,Production infrastructure row,FC_2008_FACTORY_HACCP,probable,Taiwan-side,Official timeline says central factory rebuilding conformed to HACCP standards,魯肉飯,中央工廠,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_008,2008,2008-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 TTQS,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,training_quality_award,2008 Formosa Chang passed TTQS review and received a benchmark award,high,Human capital and training governance row,FC_2008_TTQS,probable,Taiwan-side,Official awards section records TTQS review and benchmark recognition in 2008,魯肉飯,台灣服務訓練,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_009,2008,2008-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 Taipei market stall,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,taipei_market_stall_award,2008 Formosa Chang was Taipei city only representative in a market famous stall award,high,Connects chain brand back to stall and market recognition,FC_2008_MARKET_STALL,probable,Taiwan-side,Official awards section records a 2008 Taipei market stall recognition,魯肉飯,市集名攤,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_010,2009,2009-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 ISO22000,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,iso22000_central_kitchen,2009 Formosa Chang central kitchen passed ISO22000 certification,high,Food safety infrastructure row,FC_2009_ISO22000,probable,Taiwan-side,Official awards section records central kitchen ISO22000 certification in 2009,魯肉飯,中央廚房,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_011,2009,2009-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 HACCP central kitchen,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,haccp_central_kitchen,2009 Formosa Chang central kitchen passed HACCP international verification,high,Separate HACCP verification row,FC_2009_HACCP,probable,Taiwan-side,Official awards section records HACCP verification in 2009,魯肉飯,中央廚房,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
